Date (days since 1/1/2021),Primary Type,Primary Type Code,Location Description,Location Description Code,Arrest,Latitude,Longitude
2.5593381421524817,BATTERY,2,APARTMENT,17,0,41.766435144,-87.635963997
2.2924943065067076,THEFT,29,RESIDENCE,99,0,41.748473982,-87.630606588
2.0152268835323186,BATTERY,2,APARTMENT,17,0,41.88222427,-87.766076162
2.8678763270296708,NARCOTICS,17,STREET,112,1,41.79006908,-87.654768679
2.8414699058137876,HOMICIDE,10,STREET,112,0,41.771062488,-87.586270811
2.372408476026093,ASSAULT,1,CHA APARTMENT,33,0,41.702154047,-87.563980453
2.6892855307827834,THEFT,29,APARTMENT,17,1,41.869367371,-87.659882148
2.992959374973056,WEAPONS VIOLATION,30,STREET,112,0,41.769708488,-87.585263769
2.9394516267526005,CRIMINAL DAMAGE,5,RESIDENCE - GARAGE,100,0,41.995462301,-87.666121505
2.043023116408626,CRIMINAL TRESPASS,7,STREET,112,0,,
2.8963674657777143,HOMICIDE,10,APARTMENT,17,0,41.736660376,-87.54445421
2.8942827483286004,CRIMINAL DAMAGE,5,SMALL RETAIL STORE,110,0,41.844395123,-87.714097492
2.2410712756523194,CRIMINAL DAMAGE,5,RESIDENCE - GARAGE,100,0,41.934945926,-87.71137369
2.140309931475704,THEFT,29,STREET,112,0,,
2.60589683215386,ASSAULT,1,BARBERSHOP,26,0,41.873115002,-87.745664971
2.751827054754476,THEFT,29,APARTMENT,17,0,,
1.4593022260061617,DECEPTIVE PRACTICE,8,RESIDENCE,99,0,41.709109358,-87.689109214
2.425916224329595,BATTERY,2,CAR WASH,31,0,41.754137211,-87.624633337
2.1785297516806272,ROBBERY,26,STREET,112,0,41.726969742,-87.579121797
2.182699186661901,THEFT,29,CONVENIENCE STORE,46,0,41.904394115,-87.630001432
2.0221759417513954,BURGLARY,3,RESIDENCE,99,0,41.993388727,-87.658318789
2.8039449913975534,BATTERY,2,RESIDENCE,99,0,41.735039065,-87.660613134
0.5767718321833877,BATTERY,2,RESIDENCE,99,0,41.656568509,-87.602331692
0.6671095890313882,ASSAULT,1,APARTMENT,17,0,41.875314745,-87.721792665
0.7227020547840038,ASSAULT,1,STREET,112,0,41.806201677,-87.64170959
0.08338869862892352,BATTERY,2,APARTMENT,17,1,41.861637423,-87.65485686
2.0020236729659002,MOTOR VEHICLE THEFT,16,HOTEL / MOTEL,77,0,41.881893071,-87.73858166
0.7546677226415858,HOMICIDE,10,STREET,112,0,41.885720773,-87.747018429
0.15843852737834538,HOMICIDE,10,AUTO,21,0,41.808890677,-87.616576757
0.38914726026830976,CRIMINAL DAMAGE,5,RESIDENCE - GARAGE,100,0,,
0.8443105736178507,BATTERY,2,VEHICLE NON-COMMERCIAL,122,0,41.840824283,-87.631002609
2.12641181503755,CRIMINAL DAMAGE,5,RESIDENCE,99,0,,
