Suspensions_Per_100_Students_Year_1_Pct,Student_Attendance_Year_1_Pct,One_Year_Dropout_Rate_Year_1_Pct,Freshmen_On_Track_CPS_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,College_Enrollment_CPS_Pct_Year_1,Chronic_Truancy_Pct,Latitude,Longitude
10.8,86.8,3.3,88.5,79.7,67.2,46.3,41.84856,-87.708706
2.1,93.7,,,,,8.8,41.814358,-87.616618
0.0,95.3,,,,,1.6,42.007491,-87.778345
0.2,94.7,,,,,6.4,41.84008,-87.725546
,61.4,37.4,,,67.2,81.4,41.890803,-87.702053
0.0,95.1,,,,,5.6,42.00364,-87.668222
1.5,95.1,,,,,6.4,41.797498,-87.705006
,80.4,,,,,,41.776556,-87.790604
0.0,94.7,,,,,9.6,41.875744,-87.715804
0.0,95.1,,,,,0.8,41.915914,-87.674495
,94.0,1.2,88.5,79.7,67.2,11.6,41.990245,-87.726504
11.8,92.4,,,,,4.8,41.772727,-87.637277
,95.3,,,,,3.7,41.8082,-87.73045
5.5,94.7,0.0,88.5,79.7,67.2,4.6,41.879118,-87.68696
7.5,82.0,5.6,88.5,79.7,67.2,39.9,41.864149,-87.702042
3.8,95.5,,,,,1.6,41.716193,-87.648044
1.7,95.0,,,,,7.1,41.941678,-87.732179
0.4,95.6,,,,,6.1,41.899566,-87.681938
,95.2,,,,,5.2,41.950891,-87.710492
1.0,94.8,,,,,9.4,41.710435,-87.61739
2.6,89.5,4.2,88.5,79.7,67.2,16.8,41.918268,-87.646009
7.5,92.9,,,,,9.7,41.844043,-87.628553
5.1,93.8,,,,,9.0,41.681031,-87.646994
0.4,96.5,,,,,1.3,41.971506,-87.709304
,92.2,0.8,88.5,79.7,67.2,21.4,41.706667,-87.602573
0.2,94.8,,,,,2.6,41.921318,-87.765781
,60.7,35.2,,,67.2,81.6,41.773962,-87.61574
2.9,87.7,0.9,88.5,79.7,67.2,31.6,41.920059,-87.761048
0.0,96.1,,,,,9.6,41.749339,-87.669366
1.4,95.8,,,,,4.7,41.696262,-87.627148
0.7,95.1,,,,,5.6,41.747107,-87.731666
11.6,94.8,,,,,5.0,41.798535,-87.59334
6.8,90.1,2.4,88.5,79.7,67.2,15.3,41.957599,-87.769938
