Start Time,Minutes,Miles,Total Paid ($),Tips ($),Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude
2021.0000285388128,19.0,6.4,25.35,5.85,Medallion Leasin,41.874005383,-87.66351755,41.944226601,-87.655998182
2021.0000285388128,7.0,1.3,7.0,0.0,Top Cab Affiliation,41.899602111,-87.633308037,41.899602111,-87.633308037
2021.0000285388128,11.0,4.7,14.25,0.0,Medallion Leasin,41.922686284,-87.649488729,41.96581197,-87.655878786
2021.0000285388128,0.0,0.0,25.03,0.03,Chicago Independents,41.899602111,-87.633308037,41.899602111,-87.633308037
2021.0000285388128,3.316666666666667,1.1,5.75,0.0,Medallion Leasin,41.968069,-87.721559063,41.983636307,-87.723583185
2021.0000285388128,12.35,1.85,9.25,0.0,Flash Cab,42.001571027,-87.695012589,42.009622881,-87.670166857
2021.0000285388128,6.366666666666666,0.9,17.5,10.0,City Service,41.899602111,-87.633308037,41.899602111,-87.633308037
2021.0000285388128,24.0,16.1,45.5,0.0,Top Cab Affiliation,41.980264315,-87.913624596,41.922686284,-87.649488729
2021.0000285388128,22.0,10.8,29.0,0.0,Star North Management LLC,41.794090253,-87.592310855,41.660136051,-87.60284764
2021.0000285388128,13.0,6.4,33.5,0.0,Taxi Affiliation Services,41.980264315,-87.913624596,,
2021.0000285388128,20.0,9.4,26.5,0.0,312 Medallion Management Corp,41.874005383,-87.66351755,41.763246799,-87.616134111
2021.0000285388128,6.083333333333333,1.1,10.0,2.0,City Service,41.899602111,-87.633308037,41.899602111,-87.633308037
2021.0000285388128,23.55,7.32,21.75,0.0,24 Seven Taxi,41.922686284,-87.649488729,41.96581197,-87.655878786
2021.0000285388128,13.466666666666667,3.93,16.5,2.75,Flash Cab,41.9867118,-87.663416405,41.983636307,-87.723583185
2021.0000285388128,31.933333333333334,25.1,60.75,0.0,Flash Cab,41.777196255,-87.642497527,41.980264315,-87.913624596
2021.0000285388128,16.666666666666668,13.13,32.75,0.0,Flash Cab,41.953582125,-87.72345239,41.835117986,-87.618677767
2021.0000285388128,12.0,5.1,15.0,0.0,Taxi Affiliation Services,41.94651142,-87.806020002,,
2021.0000285388128,10.0,0.2,11.0,0.0,Taxi Affiliation Services,41.938666196,-87.711210593,41.954027649,-87.763399032
2021.0000285388128,11.0,1.6,9.0,0.0,Taxi Affiliation Services,41.874005383,-87.66351755,41.874005383,-87.66351755
2021.0000285388128,10.55,4.54,14.75,0.0,Globe Taxi,41.899602111,-87.633308037,41.92276062,-87.699155343
2021.0000285388128,9.333333333333334,1.25,8.5,0.0,Patriot Taxi Dba Peace Taxi Associat,41.874005383,-87.66351755,41.874005383,-87.66351755
2021.0000285388128,22.0,7.0,22.0,0.0,Medallion Leasin,41.899602111,-87.633308037,41.927260956,-87.765501609
2021.0000570776256,17.0,0.0,17.5,0.0,Taxi Affiliation Services,41.944226601,-87.655998182,41.968069,-87.721559063
2021.0000570776256,0.6833333333333333,0.0,3.25,0.0,Flash Cab,41.9867118,-87.663416405,41.9867118,-87.663416405
2021.0000570776256,13.016666666666667,5.01,15.0,0.0,Flash Cab,41.689729914,-87.669054403,41.745757713,-87.708365704
2021.0000570776256,10.0,0.2,11.75,0.0,Taxi Affiliation Services,41.922686284,-87.649488729,41.899602111,-87.633308037
2021.0000570776256,0.5833333333333334,0.0,3.25,0.0,Flash Cab,41.9867118,-87.663416405,41.9867118,-87.663416405
2021.0000570776256,8.366666666666667,1.7,7.75,0.0,Medallion Leasin,41.899602111,-87.633308037,41.874005383,-87.66351755
2021.0000570776256,14.0,6.9,25.15,5.9,Taxi Affiliation Services,41.899602111,-87.633308037,41.953582125,-87.72345239
2021.0000570776256,5.933333333333334,0.7,5.25,0.0,Flash Cab,41.899602111,-87.633308037,41.899602111,-87.633308037
2021.0000570776256,4.0,0.7,6.25,0.0,Taxi Affiliation Services,41.777196255,-87.642497527,41.777196255,-87.642497527
2021.0000570776256,8.483333333333333,1.1,7.5,0.0,City Service,41.899602111,-87.633308037,41.899602111,-87.633308037
2021.0000570776256,22.433333333333334,8.07,23.5,0.0,Patriot Taxi Dba Peace Taxi Associat,41.874005383,-87.66351755,41.944226601,-87.655998182
2021.0000570776256,18.0,0.4,19.75,0.0,Taxi Affiliation Services,41.901206994,-87.676355989,41.927260956,-87.765501609
2021.0000570776256,36.0,8.6,72.25,0.0,"Taxicab Insurance Agency, LLC",41.79259236,-87.769615453,,
2021.0000570776256,3.0,0.5,5.5,0.0,Taxi Affiliation Services,41.899602111,-87.633308037,41.899602111,-87.633308037
2021.0000570776256,17.0,0.5,29.25,0.0,Taxi Affiliation Services,41.980264315,-87.913624596,,
2021.0000570776256,15.0,4.2,13.75,0.0,Taxi Affiliation Services,41.763246799,-87.616134111,41.812948939,-87.617859676
2021.0000570776256,51.56666666666667,19.12,53.5,0.0,Sun Taxi,41.980264315,-87.913624596,,
2021.0000570776256,30.316666666666666,10.44,29.25,0.0,Flash Cab,42.009622881,-87.670166857,41.985015101,-87.804532006
2021.0000570776256,5.0,1.2,7.25,0.0,Taxi Affiliation Services,41.874005383,-87.66351755,41.878865584,-87.625192142
2021.0000570776256,41.36666666666667,5.19,21.0,0.0,Flash Cab,42.001571027,-87.695012589,42.001571027,-87.695012589
2021.0000570776256,28.0,0.8,46.9,7.9,Taxi Affiliation Services,41.980264315,-87.913624596,41.9867118,-87.663416405
2021.0000856164384,21.0,10.5,28.5,0.0,Taxi Affiliation Services,41.874005383,-87.66351755,41.740205756,-87.615969523
2021.0000856164384,0.0,0.0,3.25,0.0,Star North Management LLC,41.77887686,-87.594925439,41.77887686,-87.594925439
2021.0000856164384,20.133333333333333,10.98,29.5,0.0,Flash Cab,41.761577908,-87.572781987,41.874005383,-87.66351755
2021.0000856164384,13.7,3.86,12.5,0.0,Flash Cab,41.9867118,-87.663416405,41.975170943,-87.687515515
2021.0000856164384,18.0,14.8,56.75,15.0,U Taxicab,41.79259236,-87.769615453,41.944226601,-87.655998182
2021.0000856164384,20.9,13.1,33.0,0.0,Flash Cab,41.835117986,-87.618677767,41.96581197,-87.655878786
2021.0000856164384,0.0,0.0,3.25,0.0,"Taxicab Insurance Agency, LLC",41.899602111,-87.633308037,,
2021.0000856164384,18.0,11.3,29.25,0.0,Taxi Affiliation Services,41.874005383,-87.66351755,,
2021.0000856164384,10.0,3.2,11.25,0.0,Taxi Affiliation Services,41.874005383,-87.66351755,41.857183858,-87.620334624
2021.0000856164384,12.0,0.3,16.0,0.0,Taxi Affiliation Services,41.968069,-87.721559063,,
2021.0000856164384,9.833333333333334,3.1,11.75,0.0,Medallion Leasin,41.899602111,-87.633308037,41.874005383,-87.66351755
2021.0000856164384,11.4,3.3,17.5,0.0,Flash Cab,,,,
2021.0000856164384,9.35,4.2,13.25,0.0,City Service,41.899602111,-87.633308037,41.944226601,-87.655998182
2021.0000856164384,276.23333333333335,15.36,40.25,0.0,Flash Cab,41.860190019,-87.7172201,42.001571027,-87.695012589
2021.0000856164384,11.966666666666667,3.52,11.75,0.0,Flash Cab,41.983636307,-87.723583185,42.009622881,-87.670166857
2021.0000856164384,16.783333333333335,7.72,27.5,5.5,Flash Cab,41.878865584,-87.625192142,41.953582125,-87.72345239
2021.0000856164384,22.0,17.3,56.4,9.4,Medallion Leasin,41.980264315,-87.913624596,41.899602111,-87.633308037
2021.0000856164384,20.733333333333334,0.0,9.75,0.0,Flash Cab,42.001571027,-87.695012589,42.001571027,-87.695012589
2021.0001141552511,0.0,0.0,15.0,0.0,Suburban Dispatch LLC,,,,
2021.0001141552511,9.566666666666666,1.4,12.0,2.0,Medallion Leasin,41.899602111,-87.633308037,41.878865584,-87.625192142
2021.0001141552511,9.833333333333334,1.12,12.75,4.0,Flash Cab,41.968069,-87.721559063,41.968069,-87.721559063
2021.0001141552511,43.25,9.65,33.5,0.0,City Service,41.745757713,-87.708365704,41.777196255,-87.642497527
2021.0001141552511,0.0,0.0,30.0,0.0,Suburban Dispatch LLC,,,,
2021.0001141552511,19.8,8.43,24.0,0.0,Flash Cab,41.874005383,-87.66351755,41.812948939,-87.617859676
2021.0001141552511,25.0,11.1,30.0,0.0,Flash Cab,41.890608853,-87.756046711,41.857183858,-87.620334624
2021.0001141552511,11.85,4.19,13.25,0.0,Flash Cab,41.975170943,-87.687515515,41.978829526,-87.771166703
2021.0001141552511,19.0,12.5,35.5,0.0,Taxi Affiliation Services,41.79259236,-87.769615453,41.901206994,-87.676355989
2021.0001141552511,8.0,2.1,8.5,0.0,Taxi Affiliation Services,41.953582125,-87.72345239,41.954027649,-87.763399032
2021.0001141552511,11.35,2.6,9.75,0.0,Medallion Leasin,41.899602111,-87.633308037,41.874005383,-87.66351755
2021.0001141552511,22.0,11.4,29.75,0.0,Star North Management LLC,41.794090253,-87.592310855,41.922686284,-87.649488729
2021.0001141552511,8.866666666666667,4.11,13.5,0.0,Patriot Taxi Dba Peace Taxi Associat,41.944226601,-87.655998182,41.878865584,-87.625192142
2021.0001141552511,0.0,0.0,30.0,0.0,Suburban Dispatch LLC,,,,
2021.0001141552511,8.383333333333333,2.12,20.0,10.0,Flash Cab,41.96581197,-87.655878786,41.944226601,-87.655998182
2021.000142694064,26.95,15.31,39.0,0.0,Flash Cab,,,41.77887686,-87.594925439
