Population,Vaccine Series Completed - Percent Population,Vaccine Series Completed - Daily - Age 5+,Vaccine Series Completed - Daily - Age 12+,Vaccine Series Completed - Daily - Age 18+,Vaccine Series Completed - Daily - Age 65+,Vaccine Series Completed - Daily - Age 5+ - Percent Total Population,Vaccine Series Completed - Daily - Age 12+ - Percent Total Population,Vaccine Series Completed - Daily - Age 18+ - Percent Total Population,Vaccine Series Completed - Daily - Age 65+ - Percent Total Population,Latitude,Longitude
29060.0,0.18,20,20,20,4,0.0006882312456985547,0.0006882312456985547,0.0006882312456985547,0.00013764624913971095,41.867824,-87.623449
29060.0,0.183,92,92,92,25,0.0031658637302133517,0.0031658637302133517,0.0031658637302133517,0.0008602890571231934,41.867824,-87.623449
29060.0,0.188,122,122,122,69,0.004198210598761184,0.004198210598761184,0.004198210598761184,0.002374397797660014,41.867824,-87.623449
29060.0,0.19,70,70,70,34,0.0024088093599449415,0.0024088093599449415,0.0024088093599449415,0.0011699931176875431,41.867824,-87.623449
29060.0,0.192,63,63,63,14,0.002167928423950447,0.002167928423950447,0.002167928423950447,0.0004817618719889883,41.867824,-87.623449
1052.0,1.33,0,0,0,0,0.0,0.0,0.0,0.0,41.880112,-87.625473
1052.0,1.33,1,1,1,0,0.0009505703422053232,0.0009505703422053232,0.0009505703422053232,0.0,41.880112,-87.625473
1052.0,1.33,0,0,0,0,0.0,0.0,0.0,0.0,41.880112,-87.625473
29060.0,0.195,86,86,86,18,0.0029593943565037854,0.0029593943565037854,0.0029593943565037854,0.0006194081211286992,41.867824,-87.623449
29060.0,0.198,79,79,79,21,0.002718513420509291,0.002718513420509291,0.002718513420509291,0.0007226428079834824,41.867824,-87.623449
29060.0,0.199,32,32,32,8,0.0011011699931176876,0.0011011699931176876,0.0011011699931176876,0.0002752924982794219,41.867824,-87.623449
29060.0,0.201,48,48,48,5,0.0016517549896765313,0.0016517549896765313,0.0016517549896765313,0.00017205781142463867,41.867824,-87.623449
29060.0,0.202,46,46,46,17,0.0015829318651066758,0.0015829318651066758,0.0015829318651066758,0.0005849965588437716,41.867824,-87.623449
29060.0,0.204,59,59,59,18,0.002030282174810736,0.002030282174810736,0.002030282174810736,0.0006194081211286992,41.867824,-87.623449
29060.0,0.209,151,151,151,81,0.005196145905024088,0.005196145905024088,0.005196145905024088,0.0027873365450791464,41.867824,-87.623449
29060.0,0.216,188,188,187,90,0.006469373709566414,0.006469373709566414,0.006434962147281486,0.0030970406056434964,41.867824,-87.623449
29060.0,0.219,95,95,95,24,0.003269098417068135,0.003269098417068135,0.003269098417068135,0.0008258774948382657,41.867824,-87.623449
29060.0,0.221,56,56,56,10,0.0019270474879559533,0.0019270474879559533,0.0019270474879559533,0.00034411562284927734,41.867824,-87.623449
29060.0,0.224,85,85,85,15,0.0029249827942188574,0.0029249827942188574,0.0029249827942188574,0.0005161734342739161,41.867824,-87.623449
29060.0,0.228,112,112,112,22,0.0038540949759119066,0.0038540949759119066,0.0038540949759119066,0.0007570543702684102,41.867824,-87.623449
1052.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,41.880112,-87.625473
1052.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,41.880112,-87.625473
1052.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,41.880112,-87.625473
29060.0,0.232,137,137,137,28,0.0047143840330351,0.0047143840330351,0.0047143840330351,0.0009635237439779766,41.867824,-87.623449
29060.0,0.237,127,127,127,36,0.004370268410185822,0.004370268410185822,0.004370268410185822,0.0012388162422573984,41.867824,-87.623449
29060.0,0.244,194,194,194,45,0.006675843083275981,0.006675843083275981,0.006675843083275981,0.0015485203028217482,41.867824,-87.623449
29060.0,0.247,100,100,100,12,0.0034411562284927736,0.0034411562284927736,0.0034411562284927736,0.00041293874741913283,41.867824,-87.623449
29060.0,0.249,61,61,61,15,0.002099105299380592,0.002099105299380592,0.002099105299380592,0.0005161734342739161,41.867824,-87.623449
29060.0,0.254,155,155,155,18,0.005333792154163799,0.005333792154163799,0.005333792154163799,0.0006194081211286992,41.867824,-87.623449
29060.0,0.261,183,183,183,15,0.006297315898141776,0.006297315898141776,0.006297315898141776,0.0005161734342739161,41.867824,-87.623449
29060.0,0.269,240,240,240,12,0.008258774948382657,0.008258774948382657,0.008258774948382657,0.00041293874741913283,41.867824,-87.623449
29060.0,0.278,275,275,275,15,0.009463179628355127,0.009463179628355127,0.009463179628355127,0.0005161734342739161,41.867824,-87.623449
29060.0,0.288,268,268,266,22,0.009222298692360633,0.009222298692360633,0.009153475567790777,0.0007570543702684102,41.867824,-87.623449
29060.0,0.295,203,203,203,14,0.00698554714384033,0.00698554714384033,0.00698554714384033,0.0004817618719889883,41.867824,-87.623449
29060.0,0.306,222,222,221,9,0.007639366827253957,0.007639366827253957,0.007604955264969029,0.0003097040605643496,41.867824,-87.623449
29060.0,0.314,241,241,241,15,0.008293186510667584,0.008293186510667584,0.008293186510667584,0.0005161734342739161,41.867824,-87.623449
29060.0,0.32,170,170,170,10,0.005849965588437715,0.005849965588437715,0.005849965588437715,0.00034411562284927734,41.867824,-87.623449
29060.0,0.327,209,209,208,4,0.007192016517549897,0.007192016517549897,0.007157604955264969,0.00013764624913971095,41.867824,-87.623449
29060.0,0.335,226,226,226,13,0.0077770130763936685,0.0077770130763936685,0.0077770130763936685,0.0004473503097040606,41.867824,-87.623449
29060.0,0.34,153,153,152,2,0.005264969029593943,0.005264969029593943,0.0052305574673090155,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.344,116,116,115,2,0.003991741225051617,0.003991741225051617,0.0039573296627666895,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.354,303,303,303,14,0.010426703372333104,0.010426703372333104,0.010426703372333104,0.0004817618719889883,41.867824,-87.623449
29060.0,0.367,359,359,358,21,0.012353750860289057,0.012353750860289057,0.012319339298004129,0.0007226428079834824,41.867824,-87.623449
29060.0,0.378,324,324,324,27,0.011149346180316586,0.011149346180316586,0.011149346180316586,0.0009291121816930489,41.867824,-87.623449
29060.0,0.388,279,279,277,0,0.009600825877494838,0.009600825877494838,0.009532002752924982,0.0,41.867824,-87.623449
29060.0,0.397,274,274,273,12,0.0094287680660702,0.0094287680660702,0.009394356503785272,0.00041293874741913283,41.867824,-87.623449
29060.0,0.403,183,183,182,2,0.006297315898141776,0.006297315898141776,0.006262904335856848,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.405,36,36,36,2,0.0012388162422573984,0.0012388162422573984,0.0012388162422573984,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.413,252,252,251,2,0.008671713695801789,0.008671713695801789,0.008637302133516862,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.427,401,401,399,8,0.013799036476256021,0.013799036476256021,0.013730213351686166,0.0002752924982794219,41.867824,-87.623449
29060.0,0.437,291,291,289,5,0.010013764624913971,0.010013764624913971,0.009944941500344116,0.00017205781142463867,41.867824,-87.623449
29060.0,0.446,276,276,275,4,0.009497591190640055,0.009497591190640055,0.009463179628355127,0.00013764624913971095,41.867824,-87.623449
29060.0,0.458,324,324,323,9,0.011149346180316586,0.011149346180316586,0.011114934618031659,0.0003097040605643496,41.867824,-87.623449
29060.0,0.464,174,174,166,4,0.005987611837577426,0.005987611837577426,0.005712319339298004,0.00013764624913971095,41.867824,-87.623449
29060.0,0.466,72,72,71,1,0.002477632484514797,0.002477632484514797,0.002443220922229869,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.473,208,208,208,3,0.007157604955264969,0.007157604955264969,0.007157604955264969,0.00010323468685478321,41.867824,-87.623449
29060.0,0.482,263,263,262,2,0.009050240880935995,0.009050240880935995,0.009015829318651067,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.49,225,225,224,7,0.007742601514108741,0.007742601514108741,0.007708189951823813,0.00024088093599449416,41.867824,-87.623449
29060.0,0.499,259,259,259,9,0.008912594631796283,0.008912594631796283,0.008912594631796283,0.0003097040605643496,41.867824,-87.623449
29060.0,0.507,233,233,232,6,0.008017894012388163,0.008017894012388163,0.007983482450103234,0.00020646937370956642,41.867824,-87.623449
29060.0,0.512,144,144,137,5,0.004955264969029594,0.004955264969029594,0.0047143840330351,0.00017205781142463867,41.867824,-87.623449
29060.0,0.514,46,46,44,0,0.0015829318651066758,0.0015829318651066758,0.0015141087405368204,0.0,41.867824,-87.623449
29060.0,0.518,121,121,121,2,0.004163799036476256,0.004163799036476256,0.004163799036476256,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.526,238,238,238,2,0.008189951823812802,0.008189951823812802,0.008189951823812802,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.534,240,240,235,5,0.008258774948382657,0.008258774948382657,0.008086717136958018,0.00017205781142463867,41.867824,-87.623449
29060.0,0.545,308,308,305,16,0.010598761183757743,0.010598761183757743,0.01049552649690296,0.0005505849965588438,41.867824,-87.623449
29060.0,0.552,200,200,195,3,0.006882312456985547,0.006882312456985547,0.006710254645560908,0.00010323468685478321,41.867824,-87.623449
29060.0,0.557,166,166,163,3,0.005712319339298004,0.005712319339298004,0.005609084652443221,0.00010323468685478321,41.867824,-87.623449
29060.0,0.56,83,83,77,3,0.002856159669649002,0.002856159669649002,0.002649690295939436,0.00010323468685478321,41.867824,-87.623449
29060.0,0.565,133,133,132,9,0.004576737783895389,0.004576737783895389,0.004542326221610461,0.0003097040605643496,41.867824,-87.623449
29060.0,0.569,117,117,117,3,0.004026152787336545,0.004026152787336545,0.004026152787336545,0.00010323468685478321,41.867824,-87.623449
29060.0,0.573,124,124,121,4,0.004267033723331039,0.004267033723331039,0.004163799036476256,0.00013764624913971095,41.867824,-87.623449
29060.0,0.577,115,115,113,6,0.0039573296627666895,0.0039573296627666895,0.0038885065381968342,0.00020646937370956642,41.867824,-87.623449
29060.0,0.582,158,158,158,5,0.005437026841018582,0.005437026841018582,0.005437026841018582,0.00017205781142463867,41.867824,-87.623449
29060.0,0.585,67,67,62,2,0.002305574673090158,0.002305574673090158,0.0021335168616655195,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.586,28,28,28,0,0.0009635237439779766,0.0009635237439779766,0.0009635237439779766,0.0,41.867824,-87.623449
29060.0,0.588,65,65,63,0,0.002236751548520303,0.002236751548520303,0.002167928423950447,0.0,41.867824,-87.623449
29060.0,0.59,62,62,60,0,0.0021335168616655195,0.0021335168616655195,0.0020646937370956643,0.0,41.867824,-87.623449
29060.0,0.593,85,85,84,5,0.0029249827942188574,0.0029249827942188574,0.0028905712319339297,0.00017205781142463867,41.867824,-87.623449
29060.0,0.595,68,68,67,1,0.0023399862353750862,0.0023399862353750862,0.002305574673090158,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.598,80,80,80,1,0.0027529249827942187,0.0027529249827942187,0.0027529249827942187,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.599,38,38,38,1,0.0013076393668272539,0.0013076393668272539,0.0013076393668272539,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.6,28,28,28,2,0.0009635237439779766,0.0009635237439779766,0.0009635237439779766,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.601,8,8,7,0,0.0002752924982794219,0.0002752924982794219,0.00024088093599449416,0.0,41.867824,-87.623449
29060.0,0.603,61,61,53,2,0.002099105299380592,0.002099105299380592,0.00182381280110117,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.605,53,53,51,3,0.00182381280110117,0.00182381280110117,0.0017549896765313145,0.00010323468685478321,41.867824,-87.623449
29060.0,0.607,84,84,67,4,0.0028905712319339297,0.0028905712319339297,0.002305574673090158,0.00013764624913971095,41.867824,-87.623449
29060.0,0.61,83,83,43,2,0.002856159669649002,0.002856159669649002,0.0014796971782518927,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.613,69,69,30,0,0.002374397797660014,0.002374397797660014,0.0010323468685478321,0.0,41.867824,-87.623449
29060.0,0.614,44,44,15,0,0.0015141087405368204,0.0015141087405368204,0.0005161734342739161,0.0,41.867824,-87.623449
29060.0,0.616,56,56,36,0,0.0019270474879559533,0.0019270474879559533,0.0012388162422573984,0.0,41.867824,-87.623449
29060.0,0.619,74,74,64,3,0.0025464556090846525,0.0025464556090846525,0.0022023399862353753,0.00010323468685478321,41.867824,-87.623449
29060.0,0.621,68,68,51,2,0.0023399862353750862,0.0023399862353750862,0.0017549896765313145,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.624,73,73,63,4,0.002512044046799725,0.002512044046799725,0.002167928423950447,0.00013764624913971095,41.867824,-87.623449
29060.0,0.627,95,95,73,8,0.003269098417068135,0.003269098417068135,0.002512044046799725,0.0002752924982794219,41.867824,-87.623449
29060.0,0.628,49,49,37,0,0.001686166551961459,0.001686166551961459,0.0012732278045423262,0.0,41.867824,-87.623449
29060.0,0.63,32,32,23,1,0.0011011699931176876,0.0011011699931176876,0.0007914659325533379,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.631,51,51,41,5,0.0017549896765313145,0.0017549896765313145,0.0014108740536820372,0.00017205781142463867,41.867824,-87.623449
29060.0,0.633,37,37,31,2,0.0012732278045423262,0.0012732278045423262,0.0010667584308327598,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.634,30,30,27,2,0.0010323468685478321,0.0010323468685478321,0.0009291121816930489,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.634,24,24,24,1,0.0008258774948382657,0.0008258774948382657,0.0008258774948382657,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.636,46,46,40,2,0.0015829318651066758,0.0015829318651066758,0.0013764624913971094,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.637,18,18,15,1,0.0006194081211286992,0.0006194081211286992,0.0005161734342739161,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.637,15,15,13,0,0.0005161734342739161,0.0005161734342739161,0.0004473503097040606,0.0,41.867824,-87.623449
29060.0,0.638,22,22,20,0,0.0007570543702684102,0.0007570543702684102,0.0006882312456985547,0.0,41.867824,-87.623449
29060.0,0.639,20,20,18,3,0.0006882312456985547,0.0006882312456985547,0.0006194081211286992,0.00010323468685478321,41.867824,-87.623449
29060.0,0.64,39,39,36,2,0.0013420509291121817,0.0013420509291121817,0.0012388162422573984,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.641,25,25,22,0,0.0008602890571231934,0.0008602890571231934,0.0007570543702684102,0.0,41.867824,-87.623449
29060.0,0.642,32,32,31,0,0.0011011699931176876,0.0011011699931176876,0.0010667584308327598,0.0,41.867824,-87.623449
29060.0,0.642,16,16,15,1,0.0005505849965588438,0.0005505849965588438,0.0005161734342739161,3.441156228492774e-05,41.867824,-87.623449
0.0,0.0,0,0,0,0,,,,,41.979511,-87.896371
29060.0,0.643,9,9,7,0,0.0003097040605643496,0.0003097040605643496,0.00024088093599449416,0.0,41.867824,-87.623449
29060.0,0.643,5,5,4,0,0.00017205781142463867,0.00017205781142463867,0.00013764624913971095,0.0,41.867824,-87.623449
29060.0,0.644,19,19,19,3,0.0006538196834136269,0.0006538196834136269,0.0006538196834136269,0.00010323468685478321,41.867824,-87.623449
29060.0,0.644,21,21,19,2,0.0007226428079834824,0.0007226428079834824,0.0006538196834136269,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.645,25,25,25,1,0.0008602890571231934,0.0008602890571231934,0.0008602890571231934,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.646,32,32,28,1,0.0011011699931176876,0.0011011699931176876,0.0009635237439779766,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.647,12,12,11,2,0.00041293874741913283,0.00041293874741913283,0.0003785271851342051,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.647,0,0,0,0,0.0,0.0,0.0,0.0,41.867824,-87.623449
29060.0,0.647,18,18,18,2,0.0006194081211286992,0.0006194081211286992,0.0006194081211286992,6.882312456985548e-05,41.867824,-87.623449
29060.0,0.648,23,23,23,3,0.0007914659325533379,0.0007914659325533379,0.0007914659325533379,0.00010323468685478321,41.867824,-87.623449
29060.0,0.649,23,23,22,6,0.0007914659325533379,0.0007914659325533379,0.0007570543702684102,0.00020646937370956642,41.867824,-87.623449
29060.0,0.65,21,21,19,1,0.0007226428079834824,0.0007226428079834824,0.0006538196834136269,3.441156228492774e-05,41.867824,-87.623449
29060.0,0.651,28,28,26,0,0.0009635237439779766,0.0009635237439779766,0.0008947006194081212,0.0,41.867824,-87.623449
