pdes,Object,Close-Approach (CA) Date,CA Distance Nominal (AU),CA Distance Minimum (AU),V relative (km/s),V infinity (km/s),H (mag),Diameter (km),extra
307005,307005 (2001 XP1),2130.0481828655606,0.02499,0.02499,28.78,28.78,18.0,335000.75,a0307005
530085,530085 (2010 XC11),2135.102163855855,0.03646,0.03646,29.48,29.48,18.7,240000.55,a0530085
2014 NK52,(2014 NK52),2138.959990119088,0.03816,0.03816,29.27,29.27,21.3,0.5,bK14N52K
2007 PF28,(2007 PF28),2139.339522655148,0.04345,0.04345,26.81,26.81,19.1,650000.0,bK07P28F
2001 YV3,(2001 YV3),2145.522198307045,0.04538,0.04538,22.91,22.91,20.6,325000.0,bK01Y03V
2014 OX299,(2014 OX299),2145.6999403448904,0.02071,0.02071,30.31,30.31,19.5,540000.0,bK14OT9X
2021 HK12,(2021 HK12),2147.8409648164875,0.04596,0.04596,28.15,28.15,17.7,385000.85,bK21H12K
2013 ED28,(2013 ED28),2148.239696343406,0.04957,0.04957,22.36,22.36,21.5,215000.0,bK13E28D
2017 WV13,(2017 WV13),2151.031620227362,0.03368,0.03368,21.98,21.98,21.2,245000.0,bK17W13V
2020 BC8,(2020 BC8),2154.660655452132,0.03136,0.03136,23.36,23.35,20.0,430000.0,bK20B08C
2019 RU3,(2019 RU3),2154.9194236182893,0.03625,0.03625,29.96,29.96,18.1,320000.7,bK19R03U
465402,465402 (2008 HW1),2157.451119949152,0.04872,0.04872,39.9,39.89,17.4,450001.0,a0465402
275974,275974 (2001 XD),2165.9533194426317,0.0331,0.0331,28.65,28.65,18.5,0.62,a0275974
2017 WG2,(2017 WG2),2166.0678487263103,0.04326,0.04326,20.43,20.43,20.3,375000.0,bK17W02G
2011 UG20,(2011 UG20),2166.892953061701,0.03986,0.03986,22.6,22.6,21.4,225000.0,bK11U20G
2020 ON3,(2020 ON3),2168.664662403754,0.03963,0.03963,21.93,21.92,21.6,205000.0,bK20O03N
2009 KM,(2009 KM),2175.020107261054,0.04501,0.04501,25.99,25.99,20.2,390000.0,bK09K00M
2016 AC65,(2016 AC65),2176.065432337853,0.03076,0.03076,24.14,24.13,21.8,190000.0,bK16A65C
2019 FH,(2019 FH),2177.6123240824363,0.04105,0.04105,26.34,26.34,20.2,390000.0,bK19F00H
2020 FZ6,(2020 FZ6),2178.375636998845,0.04773,0.04773,23.45,23.45,21.3,240000.0,bK20F06Z
2019 UP4,(2019 UP4),2179.3698339022967,0.04221,0.04221,21.6,21.59,24.1,65000.0,bK19U04P
2000 CP101,(2000 CP101),2179.7237615590893,0.04182,0.04182,18.72,18.72,19.9,450000.0,bK00CA1P
2017 SY32,(2017 SY32),2183.918391679906,0.04813,0.04813,19.34,19.34,21.3,240000.0,bK17S32Y
2005 RV24,(2005 RV24),2184.765822429346,0.04488,0.04488,35.59,35.59,20.5,340000.0,bK05R24V
2019 GJ20,(2019 GJ20),2185.270257565468,0.04957,0.04957,19.76,19.76,21.2,255000.0,bK19G20J
2013 LC7,(2013 LC7),2185.561960013324,0.0385,0.0385,32.67,32.67,19.4,565000.0,bK13L07C
144332,144332 (2004 DV24),2186.799181724008,0.04993,0.04993,29.84,29.83,16.6,2.1,a0144332
2013 LT28,(2013 LT28),2189.532280425231,0.01916,0.01916,20.69,20.68,22.5,137000.0,bK13L28T
111253,111253 (2001 XU10),2191.677207308445,0.0331,0.0331,24.26,24.26,15.2,3.0,a0111253
2008 OO,(2008 OO),2194.131048162365,0.03011,0.03011,21.57,21.56,19.7,495000.0,bK08O00O
68950,68950 (2002 QF15),2194.4719046336704,0.04868,0.04868,17.04,17.04,16.4,1.65,a0068950
2020 QB3,(2020 QB3),2196.2143034896094,0.04551,0.04551,31.9,31.9,18.4,275000.6,bK20Q03B
163696,163696 (2003 EB50),2200.9885947452326,0.04643,0.04643,21.34,21.34,16.5,2.15,a0163696
